Info in database for user with ID(w_uecqxrooqozq)
event,timestamp,module,Msg (if applicable)
ParticipantJoinEvent,153430756,PARTICIPANT
ParticipantJoinedEvent,153443765,VOICE
ParticipantTalkingEvent,153443926,VOICE
ParticipantMutedEvent,153447207,VOICE
ParticipantLeftEvent,153479638,VOICE
ParticipantLeftEvent,153479646,PARTICIPANT
ParticipantJoinEvent,153481995,PARTICIPANT
ParticipantJoinedEvent,153491505,VOICE
ParticipantTalkingEvent,153493210,VOICE
ParticipantMutedEvent,153494525,VOICE
AssignPresenterEvent,153503081,PARTICIPANT
ParticipantStatusChangeEvent,153646093,PARTICIPANT
StartWebcamShareEvent,153646929,WEBCAM
ParticipantMutedEvent,153871145,VOICE
ParticipantTalkingEvent,153871305,VOICE
RecordStatusEvent,153874787,PARTICIPANT
ParticipantTalkingEvent,153886218,VOICE
ParticipantTalkingEvent,153887100,VOICE
ParticipantTalkingEvent,153891751,VOICE
ParticipantMutedEvent,153892362,VOICE
ParticipantMutedEvent,153906501,VOICE
ParticipantTalkingEvent,153906562,VOICE
ParticipantMutedEvent,153909077,VOICE
ParticipantMutedEvent,153956708,VOICE
ParticipantTalkingEvent,153956828,VOICE
ParticipantTalkingEvent,153960614,VOICE
ParticipantTalkingEvent,153961495,VOICE
ParticipantTalkingEvent,153965841,VOICE
ParticipantTalkingEvent,153965862,VOICE
ParticipantTalkingEvent,153973052,VOICE
ParticipantMutedEvent,153974216,VOICE
AssignPresenterEvent,154024076,PARTICIPANT
ParticipantMutedEvent,154042183,VOICE
ParticipantTalkingEvent,154042284,VOICE
ParticipantTalkingEvent,154048713,VOICE
ParticipantTalkingEvent,154051920,VOICE
ParticipantTalkingEvent,154052982,VOICE
ParticipantTalkingEvent,154054785,VOICE
ParticipantTalkingEvent,154055646,VOICE
ParticipantMutedEvent,154056230,VOICE
AssignPresenterEvent,154430609,PARTICIPANT
ParticipantMutedEvent,154433355,VOICE
ParticipantTalkingEvent,154433479,VOICE
ParticipantTalkingEvent,154457647,VOICE
ParticipantTalkingEvent,154458269,VOICE
ParticipantTalkingEvent,154471431,VOICE
ParticipantTalkingEvent,154472777,VOICE
ParticipantTalkingEvent,154478847,VOICE
ParticipantTalkingEvent,154479769,VOICE
ParticipantTalkingEvent,154482216,VOICE
ParticipantTalkingEvent,154483058,VOICE
ParticipantTalkingEvent,154498592,VOICE
ParticipantTalkingEvent,154498632,VOICE
ParticipantTalkingEvent,154514787,VOICE
ParticipantTalkingEvent,154515028,VOICE
ParticipantTalkingEvent,154516551,VOICE
ParticipantTalkingEvent,154516611,VOICE
ParticipantTalkingEvent,154519577,VOICE
ParticipantTalkingEvent,154519838,VOICE
ParticipantTalkingEvent,154526774,VOICE
ParticipantTalkingEvent,154526934,VOICE
ParticipantTalkingEvent,154551379,VOICE
ParticipantTalkingEvent,154553142,VOICE
ParticipantTalkingEvent,154555165,VOICE
ParticipantTalkingEvent,154555926,VOICE
ParticipantMutedEvent,154562730,VOICE
ParticipantMutedEvent,154712403,VOICE
ParticipantTalkingEvent,154715048,VOICE
ParticipantTalkingEvent,154731035,VOICE
ParticipantTalkingEvent,154731817,VOICE
ParticipantTalkingEvent,154736524,VOICE
ParticipantTalkingEvent,154736645,VOICE
ParticipantTalkingEvent,154745190,VOICE
ParticipantMutedEvent,154745191,VOICE
ParticipantMutedEvent,154777925,VOICE
ParticipantTalkingEvent,154779408,VOICE
ParticipantTalkingEvent,154800246,VOICE
ParticipantMutedEvent,154801099,VOICE
ParticipantMutedEvent,154857180,VOICE
ParticipantTalkingEvent,154860627,VOICE
ParticipantTalkingEvent,154867760,VOICE
ParticipantTalkingEvent,154868301,VOICE
ParticipantTalkingEvent,154870705,VOICE
ParticipantMutedEvent,154871621,VOICE
ParticipantMutedEvent,154879032,VOICE
ParticipantTalkingEvent,154879433,VOICE
ParticipantTalkingEvent,154897337,VOICE
ParticipantMutedEvent,154898965,VOICE
PublicChatEvent,154920646,CHAT,Thanks everyone for participating!
RecordStatusEvent,154925028,PARTICIPANT
ParticipantStatusChangeEvent,154940662,PARTICIPANT
StopWebcamShareEvent,154940794,WEBCAM
PublicChatEvent,154962318,CHAT,@Ally - you still need BBB on the server
PublicChatEvent,154966896,CHAT,to use bbb-html5 client
ParticipantLeftEvent,155393713,PARTICIPANT
ParticipantLeftEvent,155393718,VOICE
